Timestamp,Device,FlowID,Label,Throughput_Normal_MB,Throughput_Attack_MB,OWD_Normal_s,OWD_Attack_s,PDV_Normal_s,PDV_Attack_s,PacketLoss_Normal_pct,PacketLoss_Attack_pct,TRR_pct,PLR_pct,NDI_pct,JVI_pct,wASI_score,ISO11073_Severity,CompleteLoss,CIA_C_Score,CIA_I_Score,CIA_A_Score,CIA_RiskScore,ISO27005_RiskLevel,ISO14971_PriorityScore,ISO14971_ActionLevel,ISO14971_ClinicalResponse,ISO14971_CriticalityFactor,ISO27001_C_Control,ISO27001_I_Control,ISO27001_A_Control,ISO27001_ControlGap,ISO27001_GapDescription,IEC80001_Pillar,IEC80001_Zone,IEC80001_RiskTreatment,IEC80001_GovernanceAction,CAFDSPT_Domain,NHS_RAG_Likelihood,NHS_RAG_Impact,NHS_RAG_RiskScore,NHS_RAG_Rating,FDA_HazardID,FDA_HazardSituation,FDA_Probability,FDA_ResidualRiskAcceptable,FHIR_SecurityUseCase,FHIR_DimensionAffected,FHIR_ClinicalImplication,FHIR_RecommendedAction,DominantMetric,Mitigation
10.000000,WIP,2,1,0.256900,0.007412,0.002828,0.004632,0.001095,0.000000,0.364400,0.000000,97.115010,0.000000,63.800354,100.000000,61.606075,HIGH,No,20.330005,20.330005,20.946065,61.606075,High,61.606075,Warning,Enhanced monitoring,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.17 insufficient for real-time availability",Safety,Critical Therapy Zone,Avoid,"Immediate detection and response; flow isolation","B - Protecting against cyber-attack",4,2,8,Orange,WIP_F2,"Network degradation (Throughput) affecting WIP, Flow 2",4,No,"Audit Logging; De-identification","Data Management Policies; Narrative integrity","Clinically unacceptable degradation; patient data confidentiality compromised","Avoidance — immediate FHIR audit trail activation; flow isolation",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing. Increase monitoring; schedule remediation; refine IDS thresholds."
10.000000,WIP,3,1,0.256900,0.071832,0.002828,0.002353,0.001095,0.001404,0.364400,0.000000,72.039033,0.000000,16.798898,28.210830,34.996476,MEDIUM,No,11.548837,11.548837,11.898802,34.996476,Medium,34.996476,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F3,"Network degradation (Throughput) affecting WIP, Flow 3",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,4,1,0.256900,0.037768,0.002828,0.002417,0.001095,0.001165,0.364400,0.000000,85.298521,0.000000,14.547762,6.378503,37.666811,MEDIUM,No,12.430048,12.430048,12.806716,37.666811,Medium,37.666811,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F4,"Network degradation (Throughput) affecting WIP, Flow 4",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,5,1,0.256900,0.037361,0.002828,0.002380,0.001095,0.001219,0.364400,0.000000,85.457097,0.000000,15.846689,11.286617,38.480838,MEDIUM,No,12.698677,12.698677,13.083485,38.480838,Medium,38.480838,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F5,"Network degradation (Throughput) affecting WIP, Flow 5",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,6,1,0.256900,0.037750,0.002828,0.003707,0.001095,0.001368,0.364400,0.000000,85.305568,0.000000,31.088398,24.954627,42.835370,MEDIUM,No,14.135672,14.135672,14.564026,42.835370,Medium,42.835370,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F6,"Network degradation (Throughput) affecting WIP, Flow 6",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,7,1,0.256900,0.037791,0.002828,0.002616,0.001095,0.001448,0.364400,0.000000,85.289430,0.000000,7.486634,32.211664,38.834265,MEDIUM,No,12.815307,12.815307,13.203650,38.834265,Medium,38.834265,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F7,"Network degradation (Throughput) affecting WIP, Flow 7",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,8,1,0.256900,0.037447,0.002828,0.002841,0.001095,0.001367,0.364400,0.000000,85.423550,0.000000,0.460094,24.848827,36.746322,MEDIUM,No,12.126286,12.126286,12.493749,36.746322,Medium,36.746322,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F8,"Network degradation (Throughput) affecting WIP, Flow 8",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,9,1,0.256900,0.044086,0.002828,0.001572,0.001095,0.000693,0.364400,0.000000,82.839218,0.000000,44.405508,36.703782,45.687167,MEDIUM,No,15.076765,15.076765,15.533637,45.687167,Medium,45.687167,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F9,"Network degradation (Throughput) affecting WIP, Flow 9",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,1,1,0.256900,0.000380,0.002828,0.000000,0.001095,0.000000,0.364400,0.000000,99.851925,0.000000,100.000000,100.000000,69.940770,HIGH,No,23.080454,23.080454,23.779862,69.940770,High,69.940770,Warning,Enhanced monitoring,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.17 insufficient for real-time availability",Safety,Critical Therapy Zone,Avoid,"Immediate detection and response; flow isolation","B - Protecting against cyber-attack",4,2,8,Orange,WIP_F1,"Network degradation (Throughput) affecting WIP, Flow 1",4,No,"Audit Logging; De-identification","Data Management Policies; Narrative integrity","Clinically unacceptable degradation; patient data confidentiality compromised","Avoidance — immediate FHIR audit trail activation; flow isolation",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing. Increase monitoring; schedule remediation; refine IDS thresholds."
10.000000,WIP,2,1,0.256900,0.007412,0.002828,0.004632,0.001095,0.000000,0.364400,0.000000,97.115010,0.000000,63.800354,100.000000,61.606075,HIGH,No,20.330005,20.330005,20.946065,61.606075,High,61.606075,Warning,Enhanced monitoring,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.17 insufficient for real-time availability",Safety,Critical Therapy Zone,Avoid,"Immediate detection and response; flow isolation","B - Protecting against cyber-attack",4,2,8,Orange,WIP_F2,"Network degradation (Throughput) affecting WIP, Flow 2",4,No,"Audit Logging; De-identification","Data Management Policies; Narrative integrity","Clinically unacceptable degradation; patient data confidentiality compromised","Avoidance — immediate FHIR audit trail activation; flow isolation",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing. Increase monitoring; schedule remediation; refine IDS thresholds."
10.000000,WIP,3,1,0.256900,0.071832,0.002828,0.002353,0.001095,0.001404,0.364400,0.000000,72.039033,0.000000,16.798898,28.210830,34.996476,MEDIUM,No,11.548837,11.548837,11.898802,34.996476,Medium,34.996476,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F3,"Network degradation (Throughput) affecting WIP, Flow 3",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,4,1,0.256900,0.037768,0.002828,0.002417,0.001095,0.001165,0.364400,0.000000,85.298521,0.000000,14.547762,6.378503,37.666811,MEDIUM,No,12.430048,12.430048,12.806716,37.666811,Medium,37.666811,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F4,"Network degradation (Throughput) affecting WIP, Flow 4",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,5,1,0.256900,0.037361,0.002828,0.002380,0.001095,0.001219,0.364400,0.000000,85.457097,0.000000,15.846689,11.286617,38.480838,MEDIUM,No,12.698677,12.698677,13.083485,38.480838,Medium,38.480838,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F5,"Network degradation (Throughput) affecting WIP, Flow 5",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,6,1,0.256900,0.037750,0.002828,0.003707,0.001095,0.001368,0.364400,0.000000,85.305568,0.000000,31.088398,24.954627,42.835370,MEDIUM,No,14.135672,14.135672,14.564026,42.835370,Medium,42.835370,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F6,"Network degradation (Throughput) affecting WIP, Flow 6",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,7,1,0.256900,0.037791,0.002828,0.002616,0.001095,0.001448,0.364400,0.000000,85.289430,0.000000,7.486634,32.211664,38.834265,MEDIUM,No,12.815307,12.815307,13.203650,38.834265,Medium,38.834265,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F7,"Network degradation (Throughput) affecting WIP, Flow 7",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,8,1,0.256900,0.037447,0.002828,0.002841,0.001095,0.001367,0.364400,0.000000,85.423550,0.000000,0.460094,24.848827,36.746322,MEDIUM,No,12.126286,12.126286,12.493749,36.746322,Medium,36.746322,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F8,"Network degradation (Throughput) affecting WIP, Flow 8",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,9,1,0.256900,0.044086,0.002828,0.001572,0.001095,0.000693,0.364400,0.000000,82.839218,0.000000,44.405508,36.703782,45.687167,MEDIUM,No,15.076765,15.076765,15.533637,45.687167,Medium,45.687167,Review,Routine review,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.13 limited for hybrid in-transit detection",Data/System Security,Critical Therapy Zone,Transfer,"FHIR label escalation; IDS rule refinement; advanced controls","B - Protecting against cyber-attack",3,2,6,Amber,WIP_F9,"Network degradation (Throughput) affecting WIP, Flow 9",3,Yes,"Digital Signatures; Privacy Consent","User Identity & Access Context; Labels","Latency approaching alarm thresholds; real-time integrity at risk","Transfer/Mitigation — FHIR security label escalation; IDS rule refinement",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing."
10.000000,WIP,1,1,0.256900,0.000380,0.002828,0.000000,0.001095,0.000000,0.364400,0.000000,99.851925,0.000000,100.000000,100.000000,69.940770,HIGH,No,23.080454,23.080454,23.779862,69.940770,High,69.940770,Warning,Enhanced monitoring,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.17 insufficient for real-time availability",Safety,Critical Therapy Zone,Avoid,"Immediate detection and response; flow isolation","B - Protecting against cyber-attack",4,2,8,Orange,WIP_F1,"Network degradation (Throughput) affecting WIP, Flow 1",4,No,"Audit Logging; De-identification","Data Management Policies; Narrative integrity","Clinically unacceptable degradation; patient data confidentiality compromised","Avoidance — immediate FHIR audit trail activation; flow isolation",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing. Increase monitoring; schedule remediation; refine IDS thresholds."
10.000000,WIP,2,1,0.256900,0.007412,0.002828,0.004632,0.001095,0.000000,0.364400,0.000000,97.115010,0.000000,63.800354,100.000000,61.606075,HIGH,No,20.330005,20.330005,20.946065,61.606075,High,61.606075,Warning,Enhanced monitoring,1.000000,"A.12.6.1 - Management of technical vulnerabilities","A.12.4.2 - Protection of log information","A.12.7.3 - Information backup / continuity",Yes,"A.12/A.17 insufficient for real-time availability",Safety,Critical Therapy Zone,Avoid,"Immediate detection and response; flow isolation","B - Protecting against cyber-attack",4,2,8,Orange,WIP_F2,"Network degradation (Throughput) affecting WIP, Flow 2",4,No,"Audit Logging; De-identification","Data Management Policies; Narrative integrity","Clinically unacceptable degradation; patient data confidentiality compromised","Avoidance — immediate FHIR audit trail activation; flow isolation",Throughput,"Investigate bandwidth/path, QoS, TLS/SSL, routing. Increase monitoring; schedule remediation; refine IDS thresholds."
